wifi_rssi_columns,wifi_freq_columns
wifi_rssi_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:01
wifi_rssi_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:09
wifi_rssi_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:12
wifi_rssi_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:15
wifi_rssi_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:44
wifi_rssi_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:45
wifi_rssi_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:55
wifi_rssi_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:65
wifi_rssi_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:69
wifi_rssi_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:73
wifi_rssi_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:79
wifi_rssi_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:80
wifi_rssi_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:82
wifi_rssi_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:90
wifi_rssi_20:23:00:00:00:91,wifi_freq_20:23:00:00:00:91
wifi_rssi_20:23:00:00:00:92,wifi_freq_20:23:00:00:00:92
wifi_rssi_20:23:00:00:00:93,wifi_freq_20:23:00:00:00:93
wifi_rssi_20:23:00:00:00:94,wifi_freq_20:23:00:00:00:94
wifi_rssi_20:23:00:00:00:95,wifi_freq_20:23:00:00:00:95
wifi_rssi_20:23:00:00:00:96,wifi_freq_20:23:00:00:00:96
wifi_rssi_20:23:00:00:00:97,wifi_freq_20:23:00:00:00:97
wifi_rssi_20:23:00:00:00:98,wifi_freq_20:23:00:00:00:98
wifi_rssi_20:23:00:00:00:99,wifi_freq_20:23:00:00:00:99
wifi_rssi_20:23:00:00:01:00,wifi_freq_20:23:00:00:01:00
wifi_rssi_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:01
wifi_rssi_20:23:00:00:01:02,wifi_freq_20:23:00:00:01:02
wifi_rssi_20:23:00:00:01:05,wifi_freq_20:23:00:00:01:05
wifi_rssi_20:23:00:00:01:06,wifi_freq_20:23:00:00:01:06
wifi_rssi_20:23:00:00:01:07,wifi_freq_20:23:00:00:01:07
wifi_rssi_20:23:00:00:01:08,wifi_freq_20:23:00:00:01:08
wifi_rssi_20:23:00:00:01:09,wifi_freq_20:23:00:00:01:09
wifi_rssi_20:23:00:00:01:11,wifi_freq_20:23:00:00:01:11
wifi_rssi_20:23:00:00:01:12,wifi_freq_20:23:00:00:01:12
wifi_rssi_20:23:00:00:01:13,wifi_freq_20:23:00:00:01:13
wifi_rssi_20:23:00:00:01:37,wifi_freq_20:23:00:00:01:37
wifi_rssi_20:23:00:00:01:43,wifi_freq_20:23:00:00:01:43
wifi_rssi_20:23:00:00:01:44,wifi_freq_20:23:00:00:01:44
wifi_rssi_20:23:00:00:02:16,wifi_freq_20:23:00:00:02:16
wifi_rssi_20:23:00:00:02:17,wifi_freq_20:23:00:00:02:17
wifi_rssi_20:23:00:00:02:18,wifi_freq_20:23:00:00:02:18
wifi_rssi_20:23:00:00:02:19,wifi_freq_20:23:00:00:02:19
wifi_rssi_20:23:00:00:02:20,wifi_freq_20:23:00:00:02:20
wifi_rssi_20:23:00:00:02:21,wifi_freq_20:23:00:00:02:21
wifi_rssi_20:23:00:00:02:22,wifi_freq_20:23:00:00:02:22
wifi_rssi_20:23:00:00:02:23,wifi_freq_20:23:00:00:02:23
wifi_rssi_20:23:00:00:02:24,wifi_freq_20:23:00:00:02:24
wifi_rssi_20:23:00:00:02:25,wifi_freq_20:23:00:00:02:25
wifi_rssi_20:23:00:00:02:26,wifi_freq_20:23:00:00:02:26
wifi_rssi_20:23:00:00:02:27,wifi_freq_20:23:00:00:02:27
wifi_rssi_20:23:00:00:02:29,wifi_freq_20:23:00:00:02:29
wifi_rssi_20:23:00:00:02:30,wifi_freq_20:23:00:00:02:30
wifi_rssi_20:23:00:00:03:11,wifi_freq_20:23:00:00:03:11
